Time Step,Queue 0 PRBs,Queue 1 PRBs,Queue 2 PRBs
361,16,-149,16
362,16,-178,16
363,16,-221,16
364,16,-360,16
365,16,-540,16
366,16,-1577,16
367,16,1556,16
368,16,16,16
369,16,16,16
370,16,16,16
371,16,16,16
372,16,16,16
373,16,16,16
374,16,16,16
375,16,16,16
376,16,16,16
377,16,16,16
378,16,16,16
379,16,16,16
380,16,16,16
381,16,16,16
382,16,16,16
383,16,16,16
384,16,16,16
385,16,16,16
386,16,16,16
387,16,16,0
388,16,16,0
389,16,16,0
390,16,16,0
391,16,16,0
392,16,16,0
393,16,16,0
394,0,16,-1
395,0,16,-1
396,0,16,-1
397,0,16,-1
398,0,16,-1
399,-1,16,-2
400,-1,16,-2
401,-1,16,-2
402,-1,16,-2
403,-2,16,-2
404,-2,16,-3
405,-2,16,-3
406,-2,16,-3
407,-3,16,-3
408,-3,16,-3
409,-3,16,-4
410,-4,16,-4
411,-4,16,-4
412,-4,16,-4
413,-5,16,-5
414,-5,16,-5
415,-5,16,-5
416,-6,16,-5
417,-6,16,-6
418,-6,16,-6
419,-7,16,-6
420,-7,16,-7
421,-7,16,-7
422,-8,16,-7
423,-8,16,-8
424,-9,16,-8
425,-9,16,-8
426,-10,16,-9
427,-10,16,-9
428,-11,16,-9
429,-11,16,-10
430,-12,16,-10
431,-13,16,-11
432,-13,16,-11
433,-14,16,-11
434,-14,16,-12
435,-15,16,-12
436,-16,16,-13
437,-16,16,-14
438,-17,16,-14
439,-18,16,-15
440,-18,16,-15
441,-19,16,-16
442,-20,16,-16
443,-20,16,-17
444,-21,16,-18
445,-22,16,-18
446,-23,16,-19
447,-24,16,-20
448,-25,16,-21
449,-26,16,-21
450,-27,16,-23
451,-28,16,-23
452,-29,16,-24
453,-30,16,-25
454,-31,16,-26
455,-33,16,-27
456,-35,16,-29
457,-36,16,-30
458,-38,16,-31
459,-40,16,-33
460,-41,16,-34
461,-44,16,-36
462,-45,16,-38
463,-48,16,-39
464,-50,16,-42
465,-52,16,-43
466,-54,16,-45
467,-58,16,-48
468,-61,16,-50
469,-65,16,-54
470,-68,16,-56
471,-73,16,-60
472,-78,16,-63
473,-82,16,-67
474,-88,16,-72
475,-95,16,-78
476,-102,16,-84
477,-113,16,-93
478,-122,16,-100
479,-130,16,-106
480,-143,16,-116
481,-156,16,-126
482,-176,16,-142
483,-201,16,-161
484,-228,16,-184
485,-268,16,-216
486,-324,16,-260
487,-422,16,-338
488,-564,16,-450
489,-792,16,-628
490,-1359,16,-1089
491,-5629,16,-4522
492,5070,16,4052
493,-7,16,16
494,-8,16,16
495,-8,16,16
496,-8,16,16
497,-8,16,16
498,-8,16,16
499,-9,16,16
500,-9,16,16
501,-9,16,16
502,-9,16,16
503,-9,16,16
504,-10,16,16
505,-10,16,16
506,-10,16,16
507,-11,16,16
508,-11,16,16
509,-11,16,16
510,-11,16,16
511,-12,16,16
512,-12,16,16
513,-12,16,16
514,-12,16,16
515,-13,16,16
516,-13,16,16
517,-13,16,16
518,-14,16,16
519,-14,16,16
520,-14,16,16
521,-15,16,16
522,-15,16,16
523,-15,16,16
524,-16,16,16
525,-16,16,16
526,-16,16,16
527,-17,16,16
528,-17,16,16
529,-18,16,16
530,-18,16,16
531,-18,16,16
532,-19,16,16
533,-19,16,16
534,-20,16,16
535,-20,16,16
536,-20,16,16
537,-21,16,16
538,-21,16,16
539,-22,16,16
540,-22,16,16
541,-23,16,16
542,-23,16,16
543,-24,16,16
544,-24,16,16
545,-25,16,16
546,-25,16,16
547,-26,16,16
548,-27,16,16
549,-27,16,16
550,-28,16,16
551,-29,16,16
552,-29,16,16
553,-30,16,16
554,-31,16,16
555,-31,16,16
556,-32,16,16
557,-33,16,16
558,-34,16,16
559,-34,16,16
560,-35,16,16
561,-36,16,16
562,-37,16,16
563,-38,16,16
564,-39,16,16
565,-40,16,16
566,-41,16,16
567,-42,16,16
568,-44,16,16
569,-45,16,16
570,-46,16,16
571,-48,16,16
572,-49,16,16
573,-51,16,16
574,-52,16,16
575,-54,16,16
576,-56,16,16
577,-58,16,16
578,-59,16,16
579,-61,16,16
580,-62,16,16
581,-64,16,16
582,-66,16,16
583,-68,16,16
584,-71,16,16
585,-74,16,16
586,-76,16,16
587,-79,16,16
588,-81,16,16
589,-85,16,16
590,-89,16,16
591,-92,16,16
592,-96,16,16
593,-100,16,16
594,-104,16,16
595,-108,16,16
596,-112,16,16
597,-117,16,16
598,-122,16,16
599,-127,16,16
600,-133,16,16
601,-140,16,16
602,-149,16,16
603,-156,16,16
604,-165,16,16
605,-175,16,16
606,-187,16,16
607,-201,16,16
608,-219,16,16
609,-233,16,16
610,-246,16,16
611,-271,16,16
612,-296,16,16
613,-324,16,16
614,-358,16,16
615,-405,16,16
616,-463,16,16
617,-526,16,16
618,-646,16,16
619,-813,16,16
620,-1106,16,16
621,-1546,16,16
622,-3106,16,16
623,-186323,16,16
624,3019,16,16
625,16,16,16
626,16,16,16
627,16,16,16
628,16,16,16
629,16,16,16
630,16,16,16
631,16,16,16
632,16,16,16
633,16,16,16
634,16,16,16
635,16,16,16
636,16,16,16
637,16,16,16
638,16,16,16
639,16,16,16
640,16,16,16
641,16,16,16
642,16,16,16
643,16,16,16
644,16,16,16
645,16,16,16
646,16,16,16
647,16,16,16
648,16,16,16
649,16,16,16
650,16,16,16
651,16,16,16
652,16,16,16
653,16,16,16
654,16,16,16
655,16,16,16
656,16,16,16
657,16,16,16
658,16,16,16
659,16,16,16
660,16,16,16
661,16,16,16
662,16,16,16
663,16,16,16
664,16,16,16
665,16,16,16
666,16,16,16
667,16,16,16
668,16,16,16
669,16,16,16
670,16,16,16
671,16,16,16
672,16,16,16
673,16,16,16
674,16,16,16
675,16,16,16
676,16,16,16
677,16,16,16
678,16,16,16
679,16,16,16
680,16,16,16
681,16,16,16
682,16,16,16
683,16,16,16
684,16,16,16
685,16,16,16
686,16,16,16
687,16,16,16
688,16,16,16
689,16,16,16
690,16,16,16
691,16,16,16
692,16,16,16
693,16,16,16
694,16,16,16
695,16,16,16
696,16,16,16
697,16,16,16
698,16,16,16
699,16,16,16
700,16,16,16
701,16,16,16
702,16,16,16
703,16,16,16
704,16,16,16
705,16,16,16
706,16,16,16
707,16,16,16
708,16,16,16
709,16,16,16
710,16,16,16
711,16,16,16
712,16,16,16
713,16,16,16
714,16,16,16
715,16,16,16
716,16,16,16
717,16,16,16
718,16,16,16
719,16,16,16
720,16,16,16
721,16,16,16
722,16,16,16
723,16,16,16
724,16,16,16
725,16,16,16
726,16,16,16
727,16,16,16
728,16,16,16
729,16,16,16
730,16,0,16
731,16,0,16
732,16,0,16
733,16,0,16
734,16,0,16
735,16,0,16
736,16,0,16
737,16,-1,16
738,16,-1,16
739,16,-1,16
740,16,-1,16
741,16,-1,16
742,16,-2,16
743,16,-2,16
744,16,-2,16
745,16,-2,16
746,16,-2,16
747,16,-3,16
748,16,-3,16
749,16,-3,16
750,16,-3,16
751,16,-4,16
752,16,-4,16
753,16,-4,16
754,16,-4,16
755,16,-5,16
756,16,-5,16
757,16,-5,16
758,16,-5,16
759,16,-6,16
760,16,-6,16
761,16,-6,16
762,16,-6,16
763,16,-6,16
764,16,-7,16
765,16,-7,16
766,16,-7,16
767,16,-8,16
768,16,-8,16
769,16,-8,16
770,16,-9,0
771,16,-9,0
772,16,-9,0
773,16,-10,0
774,16,-10,0
775,16,-10,-1
776,16,-11,-1
777,16,-11,-1
778,16,-12,-1
779,16,-12,-2
780,16,-13,-2
781,16,-14,-2
782,16,-14,-3
783,16,-15,-3
784,16,-15,-4
785,16,-16,-4
786,16,-17,-4
787,16,-17,-5
788,16,-18,-5
789,16,-19,-6
790,16,-19,-6
791,16,-20,-7
792,16,-21,-7
793,16,-22,-8
794,16,-23,-8
795,16,-24,-9
796,16,-25,-10
797,16,-26,-10
798,16,-27,-11
799,16,-27,-11
800,16,-29,-12
801,16,-31,-13
802,16,-32,-14
803,16,-34,-15
804,16,-36,-16
805,16,-38,-17
806,16,-39,-18
807,16,-42,-19
808,16,-43,-20
809,16,-46,-22
810,16,-48,-23
811,16,-51,-26
812,16,-53,-27
813,16,-56,-29
814,16,-60,-31
815,16,-63,-34
816,16,-66,-35
817,16,-70,-37
818,16,-75,-40
819,16,-81,-44
820,16,-85,-46
821,16,-91,-51
822,16,-99,-56
823,16,-104,-59
824,16,-114,-66
825,16,-128,-75
826,16,-146,-86
827,16,-166,-98
828,16,-185,-109
829,16,-213,-126
830,16,-260,-156
831,16,-332,-201
832,16,-446,-270
833,16,-569,-344
834,16,-929,-565
835,16,-2610,-1579
836,16,3708,2237
837,16,16,16
838,16,16,16
839,16,16,16
840,16,16,16
841,16,16,16
842,16,16,16
843,16,16,16
844,16,16,16
845,16,16,16
846,16,16,16
847,16,16,16
848,16,16,16
849,16,16,16
850,16,16,16
851,16,16,16
852,16,16,16
853,16,16,16
854,16,16,16
855,16,16,16
856,16,16,16
857,16,16,16
858,16,16,16
859,16,16,16
860,16,16,16
861,16,16,16
862,16,16,16
863,16,16,16
864,16,16,16
865,16,16,16
866,16,16,16
867,16,16,16
868,16,16,16
869,16,16,16
870,16,16,16
871,16,16,16
872,16,16,16
873,16,16,16
874,16,16,16
875,16,16,16
876,16,16,16
877,16,16,16
878,16,16,16
879,16,16,16
880,16,16,16
881,16,16,16
882,16,16,16
883,16,16,16
884,16,16,16
885,16,16,16
886,16,16,16
887,16,16,16
888,16,16,16
889,16,16,16
890,16,16,16
891,16,16,16
892,16,16,16
893,16,16,16
894,16,16,16
895,16,16,16
896,16,16,16
897,16,16,16
898,16,16,16
899,16,16,16
900,16,16,16
901,16,16,16
902,16,16,16
903,16,16,16
904,16,16,16
905,16,16,16
906,16,16,16
907,16,16,16
908,16,16,16
909,16,16,16
910,16,16,16
911,16,16,16
912,16,16,16
913,16,16,16
914,16,16,16
915,16,16,16
916,16,16,16
917,16,16,16
918,16,16,16
919,16,16,16
920,16,16,16
921,16,16,16
922,16,16,16
923,16,16,16
924,16,16,16
925,16,16,16
926,16,16,16
927,16,16,16
928,16,16,16
929,16,16,16
930,16,16,16
931,16,16,16
932,16,16,16
933,16,16,16
934,16,16,16
935,16,16,16
936,16,16,16
937,16,16,16
938,16,16,16
939,16,16,16
940,16,16,16
941,16,16,16
942,16,16,16
943,16,16,16
944,16,16,16
945,16,16,16
946,16,16,16
947,16,16,16
948,16,16,16
949,16,16,16
950,16,16,16
951,16,16,16
952,16,16,16
953,16,16,16
954,16,16,16
955,16,16,16
956,16,16,16
957,16,16,16
958,16,16,16
959,16,16,16
960,16,16,16
961,16,16,16
962,16,16,16
963,16,16,16
964,16,16,16
965,16,16,16
966,16,16,16
967,0,16,16
968,0,16,16
969,0,16,16
970,0,16,16
971,0,16,16
972,0,16,16
973,0,16,16
974,0,16,16
975,0,16,16
976,0,16,16
977,0,16,16
978,0,16,16
979,0,16,16
980,0,16,16
981,0,16,16
982,0,16,16
983,0,16,16
984,0,16,16
985,-1,16,16
986,-1,16,16
987,-1,16,16
988,-1,16,16
989,-1,16,16
990,-1,16,16
991,-1,16,16
992,-1,16,16
993,-1,16,16
994,-1,16,16
995,-1,16,16
996,-1,16,16
997,-1,16,16
998,-1,16,16
999,-1,16,16
1000,-2,16,16
1001,-2,16,16
1002,-2,16,16
1003,-2,16,16
1004,-2,16,16
1005,-2,16,16
1006,-2,16,16
1007,-2,16,16
1008,-2,16,16
1009,-2,16,16
1010,-2,16,16
1011,-2,16,16
1012,-2,16,16
1013,-2,16,16
1014,-3,16,16
1015,-3,16,16
1016,-3,16,16
1017,-3,16,16
1018,-3,16,16
1019,-3,16,16
1020,-3,16,16
1021,-3,16,16
1022,-3,16,16
1023,-3,16,16
1024,-3,16,16
1025,-3,16,16
1026,-4,16,16
1027,-4,16,16
1028,-4,16,16
1029,-4,16,16
1030,-4,16,16
1031,-4,16,16
1032,-4,16,16
1033,-4,16,16
1034,-4,16,16
1035,-4,16,16
1036,-4,16,16
1037,-4,16,16
1038,-4,16,16
1039,-4,16,16
1040,-5,16,16
1041,-5,16,16
1042,-5,16,16
1043,-5,16,16
1044,-5,16,16
1045,-5,16,16
1046,-5,16,16
1047,-5,16,16
1048,-5,16,16
1049,-5,16,16
1050,-6,16,16
1051,-6,16,16
1052,-6,16,16
1053,-6,16,16
1054,-6,16,16
1055,-6,16,16
1056,-6,16,16
1057,-6,16,16
1058,-6,16,16
1059,-6,16,16
1060,-7,16,16
1061,-7,16,16
1062,-7,16,16
1063,-7,16,16
1064,-7,16,16
1065,-7,16,16
1066,-7,16,16
1067,-7,16,16
1068,-8,16,16
1069,-8,16,16
1070,-8,16,16
1071,-8,16,16
1072,-8,16,16
1073,-8,16,16
1074,-8,16,16
1075,-8,16,16
1076,-8,16,16
1077,-9,16,16
1078,-9,16,16
1079,-9,16,16
1080,-9,16,16
1081,-9,16,16
1082,-9,16,16
1083,-9,16,16
1084,-9,16,16
1085,-10,16,16
1086,-10,16,16
1087,-10,16,16
1088,-10,16,16
1089,-10,16,16
1090,-10,16,16
1091,-10,16,16
1092,-11,16,16
1093,-11,16,16
1094,-11,16,16
1095,-11,16,16
1096,-11,16,16
1097,-11,16,16
1098,-11,16,16
1099,-11,16,16
1100,-12,16,16
1101,-12,16,16
1102,-12,16,16
1103,-12,16,16
1104,-12,16,16
1105,-12,16,16
1106,-12,16,16
1107,-13,16,16
1108,-13,16,16
1109,-13,16,16
1110,-13,16,16
1111,-13,16,16
1112,-13,16,16
1113,-14,16,16
1114,-14,16,16
1115,-14,16,16
1116,-14,16,16
1117,-14,16,16
1118,-14,16,16
1119,-14,16,16
1120,-15,16,16
1121,-15,16,16
1122,-15,16,16
1123,-15,16,16
1124,-15,16,16
1125,-16,16,16
1126,-16,16,16
1127,-16,16,16
1128,-16,16,16
1129,-16,16,16
1130,-17,16,16
1131,-17,16,16
1132,-17,16,16
1133,-17,16,16
1134,-17,16,16
1135,-18,16,16
1136,-18,16,16
1137,-18,16,16
1138,-18,16,16
1139,-18,16,16
1140,-18,16,16
1141,-19,16,16
1142,-19,16,16
1143,-19,16,16
1144,-19,16,16
1145,-19,16,16
1146,-20,16,16
1147,-20,16,16
1148,-20,16,16
1149,-21,16,16
1150,-21,16,16
1151,-21,16,16
1152,-21,16,16
1153,-21,16,16
1154,-22,16,16
1155,-22,16,16
1156,-22,16,16
1157,-22,16,16
1158,-23,16,16
1159,-23,16,16
1160,-23,16,16
1161,-23,16,16
1162,-24,16,16
1163,-24,16,16
1164,-24,16,16
1165,-24,16,16
1166,-25,16,16
1167,-25,16,16
1168,-25,16,16
1169,-26,16,16
1170,-26,16,16
1171,-26,16,16
1172,-27,16,16
1173,-27,16,16
1174,-27,16,16
1175,-28,16,16
1176,-28,16,16
1177,-28,16,16
1178,-28,16,16
1179,-29,16,16
1180,-29,16,16
1181,-30,16,16
1182,-30,16,16
1183,-30,16,16
1184,-31,16,16
1185,-31,16,16
1186,-31,16,16
1187,-32,16,16
1188,-32,16,16
1189,-32,16,16
1190,-33,16,16
1191,-33,16,16
1192,-34,16,16
1193,-34,16,16
1194,-34,16,16
1195,-35,16,16
1196,-35,16,16
1197,-36,16,16
1198,-36,16,16
1199,-37,16,16
1200,-37,16,16
1201,-37,16,16
1202,-38,16,16
1203,-38,16,16
1204,-39,16,16
1205,-39,16,16
1206,-40,16,16
1207,-40,16,16
1208,-41,16,16
1209,-41,16,16
1210,-42,16,16
1211,-42,16,16
1212,-43,16,16
1213,-43,16,16
1214,-44,16,16
1215,-45,16,16
1216,-45,16,16
1217,-46,16,16
1218,-46,16,16
1219,-47,16,16
1220,-48,16,16
1221,-49,16,16
1222,-49,16,16
1223,-50,16,16
1224,-50,16,16
1225,-51,16,16
